estrategia,n_semillas,ICV_red_mean,ICV_red_sd,Vavg_red_mean,Vavg_red_sd,QL_red_mean,QL_red_sd,q_red_mean,q_red_sd,throughput_mean,throughput_sd,demora_media_s_mean,demora_media_s_sd,tviaje_media_s_mean,tviaje_media_s_sd,tviaje_mediana_s_mean,tviaje_mediana_s_sd
fijo,10,0.5044139369418974,0.003203676229536192,19.904163097282,0.1022509804203187,0.4068691729233448,0.0046819055097161244,62.28857142857143,0.8614605537772954,726.7,10.050373127401787,500.2316708295881,12.791162473262078,272.6985613816472,2.861184477487791,258.05,2.126617031813674
actuated,10,0.42942919111312905,0.00579957399392151,22.813694932988934,0.2200598075228841,0.3150856631013998,0.0075042461781623295,76.14857142857143,1.8053797158402285,888.4,21.062763351469343,315.8781023026478,16.193839879665664,257.9175925044971,1.3582117165238226,242.75,1.8337120820892248
webster,10,0.4895847237580073,0.0059443582146732335,20.153604856369697,0.24043548798056244,0.3821991826624301,0.007176983208016708,63.88285714285715,2.837401800872031,745.3,33.10302101017368,458.8305124778705,35.182824127106954,267.9980131290791,3.695285693576493,252.45,3.364892271678248
webster_mod,10,0.4882130582575471,0.005290709523030394,20.240764946331385,0.19073307323525068,0.38119891401575495,0.007052343616496262,64.68857142857142,1.8407828857996966,754.7,21.4758003343298,450.5230410919454,24.502913882453772,265.38827127131935,3.1886698309086383,250.95,3.2283896914715857
maxpressure,10,0.47609792914114024,0.013904575674595862,21.55324129684991,0.5421232022780322,0.3832160829991345,0.017095505891510595,67.33714285714285,4.208073872246742,785.6,49.094195176212025,447.0857499643841,52.17191396758302,241.23835390558656,4.205200956437995,226.95,5.845724933658785
difuso,10,0.4941484891115773,0.0051836793654913005,20.233202875985285,0.2571353580500722,0.39291854641523816,0.005568389081887664,63.53142857142857,1.6987005838197002,741.2,19.818173477896494,472.6380810480989,20.897602391836344,273.4438897849726,3.04645259524744,259.55,4.3037774106010644
