estrategia,n_semillas,ICV_red_mean,ICV_red_sd,Vavg_red_mean,Vavg_red_sd,QL_red_mean,QL_red_sd,q_red_mean,q_red_sd,throughput_mean,throughput_sd,demora_media_s_mean,demora_media_s_sd,tviaje_media_s_mean,tviaje_media_s_sd,tviaje_mediana_s_mean,tviaje_mediana_s_sd
fijo,10,0.3588653865022688,0.0026676495798133226,25.984861564223408,0.18261901906262165,0.23738643183629915,0.00213977661876088,29.51142857142857,0.12152097324649659,344.3,1.4177446878757824,133.46036538341698,1.9356438320919958,260.34402485878974,2.0288426667059674,256.55,2.102974084481309
actuated,10,0.2232651731703443,0.002169141252620354,31.712409540627913,0.19966831615469813,0.08072780135684554,0.0011071924833997823,37.354285714285716,0.44670220185584164,435.8,5.2115256883181535,29.841719112587803,0.6670055434509787,247.8252495280153,1.592485106552959,243.95,3.6293938887919013
webster,10,0.2961811212085252,0.0029110005813783504,28.407841463620958,0.1692653914310894,0.16047362277904048,0.0037149795238903723,33.53142857142857,0.30857142857142694,391.2,3.6,71.4328271045928,2.500553503862553,259.1338112241979,1.5085296841268891,251.55,3.6908671067921155
webster_mod,10,0.29797829302512235,0.0032918914246559605,28.31984405606317,0.17087061847599294,0.16230815904566845,0.004234301879285678,33.52285714285714,0.3101151859735803,391.1,3.6180105030251086,72.63728515063963,2.973938917617892,259.887026468634,1.474469644595179,251.05,3.856488039654732
maxpressure,10,0.21975485245650692,0.005123731834793031,32.368709548296735,0.26582689445281765,0.08683211008653458,0.005325253001181909,37.722857142857144,0.4276275319977052,440.1,4.988987873306569,32.71648374198503,2.3441986975078914,243.06245367919436,1.9629973702382588,239.2,4.063249930782009
difuso,10,0.33392649208766545,0.0047058804319563,27.13480137116082,0.20488145759516968,0.2105055993893302,0.00606916767342522,31.98857142857143,0.5948349110707707,373.2,6.939740629158989,105.76411628219438,5.620656617266453,266.94733830515645,3.0305701008701114,262.5,3.872983346207417
