estrategia,n_semillas,ICV_red_mean,ICV_red_sd,Vavg_red_mean,Vavg_red_sd,QL_red_mean,QL_red_sd,q_red_mean,q_red_sd,throughput_mean,throughput_sd,demora_media_s_mean,demora_media_s_sd,tviaje_media_s_mean,tviaje_media_s_sd,tviaje_mediana_s_mean,tviaje_mediana_s_sd
fijo,30,0.5059248457264494,0.004203636989523341,19.858779887857906,0.14710192929269925,0.40898584754217837,0.005709038261679725,61.68857142857143,1.2599611267084097,719.7,14.699546478264786,509.28174666486854,19.227713944422163,271.36184436481824,2.8589926249233724,257.43333333333334,2.768071932270226
actuated,30,0.4261093686805466,0.006229335833482626,22.94063132238126,0.251384233672672,0.31098699157299003,0.007658769174771505,76.52,1.9337939868748857,892.7333333333333,22.560929846873677,309.73236623129316,16.911912719061014,259.37833667347354,2.90142894455491,245.28333333333333,3.468148721660528
webster,30,0.4890513317792425,0.0043503706043765055,20.184568276817053,0.17012297653511585,0.38175406620722274,0.005587229608184452,64.21714285714286,1.9836145115954982,749.2,23.142169301947472,454.66898272362977,24.7406487625743,267.46699272322195,2.955613231519629,251.86666666666667,3.5306593655513634
webster_mod,30,0.4893254567021695,0.00472604579337511,20.193803710164527,0.19203225173815067,0.38248700994451484,0.006043276854663415,64.52857142857142,1.8780471837762216,752.8333333333334,21.910550477389247,453.24515401159744,23.761468831594424,266.2156330383265,3.4862546511670143,250.3,3.5814336049502113
maxpressure,30,0.477415663636213,0.012868761766222633,21.494559731852707,0.49524389261475676,0.38468046320321436,0.016040099838710725,67.28571428571429,3.6169668203609264,785,42.19794623754415,448.8873280870938,46.638321833632254,242.3970454747027,4.2810754526529085,228.06666666666666,5.607633685928099
difuso,30,0.4936426723214616,0.004007506079926074,20.219736738605995,0.19084738779391416,0.39164006026240217,0.0046781912041904804,63.58857142857143,1.6587775188803529,741.8666666666667,19.352404386937444,470.7919914109173,19.13996591111691,274.517675057458,3.7336575245666417,261.03333333333336,5.32593236490622
